Downloading source: This might take a while... Done.
Linux running:      4.15.0-55-generic on x86_64 (289f0e5ab5ef)
Processor Cores:    16 -- Intel(R) Xeon(R) CPU D-1548 @ 2.00GHz
Compiler:           gcc (Ubuntu 7.4.0-1ubuntu1~18.04.1) 7.4.0
Linux compiled:     4.14 (/root/.cache/kcbench/linux-4.14)
Run 1 (-j 32):      4774 points  (e:209.46 sec  P:747%  U:1459.84 sec  S:106.02 sec)
Run 2 (-j 32):      4926 points  (e:202.99 sec  P:759%  U:1436.18 sec  S:105.49 sec)
Run 3 (-j 32):      4848 points  (e:206.25 sec  P:756%  U:1454.37 sec  S:104.98 sec)
Run 4 (-j 32):      4927 points  (e:202.95 sec  P:758%  U:1435.46 sec  S:104.74 sec)
Run 5 (-j 32):      4859 points  (e:205.77 sec  P:757%  U:1453.15 sec  S:104.62 sec)
Run 6 (-j 32):      4864 points  (e:205.58 sec  P:754%  U:1446.75 sec  S:103.79 sec)
Run 7 (-j 32):      4873 points  (e:205.18 sec  P:760%  U:1455.75 sec  S:104.60 sec)
Run 8 (-j 32):      4858 points  (e:205.83 sec  P:757%  U:1454.75 sec  S:104.18 sec)
Run 9 (-j 32):      4911 points  (e:203.59 sec  P:756%  U:1434.72 sec  S:104.56 sec)
Run 10 (-j 32):     4843 points  (e:206.46 sec  P:754%  U:1453.36 sec  S:105.09 sec)
Run 11 (-j 32):     4876 points  (e:205.07 sec  P:751%  U:1436.01 sec  S:104.74 sec)
Run 12 (-j 32):     4818 points  (e:207.52 sec  P:751%  U:1455.20 sec  S:104.89 sec)
Run 13 (-j 32):     4857 points  (e:205.87 sec  P:753%  U:1445.74 sec  S:104.79 sec)
Run 14 (-j 32):     4852 points  (e:206.07 sec  P:756%  U:1453.67 sec  S:105.11 sec)
Run 15 (-j 32):     4856 points  (e:205.93 sec  P:757%  U:1454.50 sec  S:104.88 sec)
Run 16 (-j 32):     4923 points  (e:203.09 sec  P:758%  U:1435.82 sec  S:104.46 sec)
Run 17 (-j 32):     4853 points  (e:206.04 sec  P:756%  U:1454.32 sec  S:104.83 sec)
Run 18 (-j 32):     4919 points  (e:203.27 sec  P:757%  U:1435.72 sec  S:103.99 sec)
Run 19 (-j 32):     4822 points  (e:207.36 sec  P:752%  U:1455.08 sec  S:104.96 sec)
