Linux running:      4.15.0-55-generic on x86_64 (3eed309d36ce)
Processor Cores:    16 -- Intel(R) Xeon(R) CPU D-1548 @ 2.00GHz
Compiler:           gcc (Ubuntu 7.4.0-1ubuntu1~18.04.1) 7.4.0
Linux compiled:     4.14 (/root/.cache/kcbench/linux-4.14)
Run 1 (-j 8):       5922 points  (e:168.85 sec  P:742%  U:1153.69 sec  S:99.41 sec)
Run 2 (-j 8):       6034 points  (e:165.72 sec  P:752%  U:1150.23 sec  S:96.56 sec)
Run 3 (-j 8):       5998 points  (e:166.72 sec  P:748%  U:1151.18 sec  S:96.52 sec)
Run 4 (-j 8):       6017 points  (e:166.18 sec  P:750%  U:1149.72 sec  S:97.75 sec)
Run 5 (-j 8):       6036 points  (e:165.67 sec  P:752%  U:1149.65 sec  S:96.85 sec)
Run 6 (-j 8):       6039 points  (e:165.58 sec  P:752%  U:1150.72 sec  S:95.78 sec)
Run 7 (-j 8):       6036 points  (e:165.66 sec  P:752%  U:1150.75 sec  S:96.32 sec)
Run 8 (-j 8):       6005 points  (e:166.51 sec  P:749%  U:1152.37 sec  S:96.40 sec)
Run 9 (-j 8):       6051 points  (e:165.25 sec  P:754%  U:1149.42 sec  S:96.92 sec)
Run 10 (-j 8):      6000 points  (e:166.65 sec  P:749%  U:1151.84 sec  S:96.82 sec)
Run 11 (-j 8):      6033 points  (e:165.75 sec  P:752%  U:1150.18 sec  S:97.23 sec)
Run 12 (-j 8):      6020 points  (e:166.10 sec  P:750%  U:1148.19 sec  S:97.74 sec)
Run 13 (-j 8):      6015 points  (e:166.25 sec  P:750%  U:1151.02 sec  S:96.60 sec)
Run 14 (-j 8):      6020 points  (e:166.11 sec  P:751%  U:1151.54 sec  S:96.68 sec)
Run 15 (-j 8):      6025 points  (e:165.97 sec  P:751%  U:1150.88 sec  S:96.20 sec)
Run 16 (-j 8):      6023 points  (e:166.01 sec  P:751%  U:1151.14 sec  S:96.28 sec)
Run 17 (-j 8):      6003 points  (e:166.56 sec  P:748%  U:1151.12 sec  S:96.31 sec)
Run 18 (-j 8):      5999 points  (e:166.67 sec  P:748%  U:1150.61 sec  S:96.96 sec)
Run 19 (-j 8):      6027 points  (e:165.90 sec  P:751%  U:1149.46 sec  S:97.04 sec)
Run 20 (-j 8):      5994 points  (e:166.81 sec  P:748%  U:1152.27 sec  S:96.16 sec)
Run 21 (-j 8):      6020 points  (e:166.09 sec  P:750%  U:1149.54 sec  S:97.67 sec)
Run 22 (-j 8):      6006 points  (e:166.48 sec  P:749%  U:1151.14 sec  S:97.34 sec)
Run 23 (-j 8):      6032 points  (e:165.76 sec  P:751%  U:1149.42 sec  S:96.75 sec)
Run 24 (-j 8):      6008 points  (e:166.42 sec  P:749%  U:1150.51 sec  S:96.87 sec)
Run 25 (-j 8):      6017 points  (e:166.19 sec  P:751%  U:1152.09 sec  S:97.21 sec)
Run 26 (-j 8):      6011 points  (e:166.35 sec  P:750%  U:1150.87 sec  S:96.80 sec)
Run 27 (-j 8):      6047 points  (e:165.37 sec  P:754%  U:1150.84 sec  S:96.18 sec)
Run 28 (-j 8):      6025 points  (e:165.96 sec  P:751%  U:1150.27 sec  S:97.05 sec)
Run 29 (-j 8):      6008 points  (e:166.43 sec  P:749%  U:1151.15 sec  S:96.89 sec)
Run 30 (-j 8):      6029 points  (e:165.84 sec  P:752%  U:1150.22 sec  S:97.02 sec)
Run 31 (-j 8):      6016 points  (e:166.22 sec  P:750%  U:1150.71 sec  S:96.68 sec)
Run 32 (-j 8):      6030 points  (e:165.83 sec  P:752%  U:1151.05 sec  S:96.69 sec)
Run 33 (-j 8):      6026 points  (e:165.93 sec  P:752%  U:1151.99 sec  S:96.01 sec)
Run 34 (-j 8):      6000 points  (e:166.66 sec  P:749%  U:1152.54 sec  S:96.59 sec)
