Linux running:      4.15.0-65-generic on x86_64 (ubuntu)
Processor Cores:    8 -- Intel Core Processor (Broadwell, IBRS)
Compiler:           gcc (Ubuntu 7.4.0-1ubuntu1~18.04.1) 7.4.0
Linux compiled:     4.14 (/home/kvm/.cache/kcbench/linux-4.14)
Run 1 (-j 8):       5678 points  (e:176.10 sec  P:737%  U:1187.63 sec  S:111.54 sec)
Run 2 (-j 8):       5737 points  (e:174.30 sec  P:743%  U:1186.73 sec  S:109.31 sec)
Run 3 (-j 8):       5771 points  (e:173.26 sec  P:747%  U:1187.91 sec  S:107.66 sec)
Run 4 (-j 8):       5807 points  (e:172.19 sec  P:750%  U:1184.02 sec  S:108.28 sec)
Run 5 (-j 8):       5831 points  (e:171.47 sec  P:752%  U:1181.53 sec  S:108.34 sec)
Run 6 (-j 8):       5826 points  (e:171.63 sec  P:750%  U:1180.88 sec  S:106.65 sec)
Run 7 (-j 8):       5854 points  (e:170.81 sec  P:750%  U:1175.22 sec  S:106.96 sec)
Run 8 (-j 8):       5883 points  (e:169.96 sec  P:750%  U:1168.35 sec  S:106.93 sec)
Run 9 (-j 8):       5892 points  (e:169.70 sec  P:752%  U:1169.66 sec  S:106.69 sec)
Run 10 (-j 8):      5803 points  (e:172.32 sec  P:753%  U:1189.40 sec  S:108.92 sec)
Run 11 (-j 8):      5847 points  (e:171.01 sec  P:752%  U:1179.53 sec  S:107.19 sec)
Run 12 (-j 8):      6437 points  (e:155.35 sec  P:747%  U:1062.64 sec  S:98.62 sec)
Run 13 (-j 8):      6421 points  (e:155.72 sec  P:745%  U:1062.20 sec  S:99.46 sec)
Run 14 (-j 8):      6429 points  (e:155.54 sec  P:746%  U:1063.54 sec  S:98.11 sec)
Run 15 (-j 8):      
