Downloading source: This might take a while... Done.
Linux running:      4.15.0-55-generic on x86_64 (4119e939f870)
Processor Cores:    16 -- Intel(R) Xeon(R) CPU D-1548 @ 2.00GHz
Compiler:           gcc (Ubuntu 7.4.0-1ubuntu1~18.04.1) 7.4.0
Linux compiled:     4.14 (/root/.cache/kcbench/linux-4.14)
Run 1 (-j 8):       4412 points  (e:226.65 sec  P:694%  U:1461.01 sec  S:112.56 sec)
Run 2 (-j 8):       4445 points  (e:224.93 sec  P:701%  U:1466.43 sec  S:111.32 sec)
Run 3 (-j 8):       4502 points  (e:222.12 sec  P:704%  U:1453.46 sec  S:111.31 sec)
Run 4 (-j 8):       4456 points  (e:224.38 sec  P:702%  U:1464.41 sec  S:111.94 sec)
Run 5 (-j 8):       4472 points  (e:223.57 sec  P:702%  U:1458.94 sec  S:112.57 sec)
Run 6 (-j 8):       4462 points  (e:224.10 sec  P:704%  U:1467.28 sec  S:111.17 sec)
Run 7 (-j 8):       4488 points  (e:222.81 sec  P:704%  U:1456.99 sec  S:111.84 sec)
Run 8 (-j 8):       4449 points  (e:224.73 sec  P:705%  U:1473.89 sec  S:111.60 sec)
Run 9 (-j 8):       4477 points  (e:223.34 sec  P:702%  U:1457.69 sec  S:111.92 sec)
Run 10 (-j 8):      4449 points  (e:224.73 sec  P:702%  U:1465.57 sec  S:113.14 sec)
Run 11 (-j 8):      4483 points  (e:223.06 sec  P:701%  U:1452.94 sec  S:111.92 sec)
Run 12 (-j 8):      4458 points  (e:224.27 sec  P:703%  U:1467.05 sec  S:111.08 sec)
Run 13 (-j 8):      4475 points  (e:223.43 sec  P:701%  U:1455.62 sec  S:111.42 sec)
Run 14 (-j 8):      4452 points  (e:224.60 sec  P:704%  U:1469.72 sec  S:112.13 sec)
Run 15 (-j 8):      4488 points  (e:222.81 sec  P:702%  U:1453.49 sec  S:111.56 sec)
Run 16 (-j 8):      4447 points  (e:224.84 sec  P:703%  U:1469.92 sec  S:112.42 sec)
Run 17 (-j 8):      4482 points  (e:223.10 sec  P:703%  U:1456.86 sec  S:111.62 sec)
Run 18 (-j 8):      4464 points  (e:223.97 sec  P:704%  U:1466.90 sec  S:111.35 sec)
Run 19 (-j 8):      4473 points  (e:223.54 sec  P:702%  U:1458.59 sec  S:112.13 sec)
Run 20 (-j 8):      4449 points  (e:224.74 sec  P:703%  U:1468.68 sec  S:112.33 sec)
Run 21 (-j 8):      4471 points  (e:223.63 sec  P:703%  U:1461.25 sec  S:111.95 sec)
Run 22 (-j 8):      4450 points  (e:224.70 sec  P:703%  U:1468.79 sec  S:111.69 sec)
Run 23 (-j 8):      4487 points  (e:222.84 sec  P:705%  U:1461.95 sec  S:110.71 sec)
Run 24 (-j 8):      4467 points  (e:223.86 sec  P:704%  U:1464.85 sec  S:111.62 sec)
Run 25 (-j 8):      4497 points  (e:222.35 sec  P:705%  U:1457.14 sec  S:111.62 sec)
Run 26 (-j 8):      4432 points  (e:225.60 sec  P:703%  U:1475.00 sec  S:112.05 sec)
Run 27 (-j 8):      4498 points  (e:222.32 sec  P:704%  U:1453.75 sec  S:111.62 sec)
Run 28 (-j 8):      4429 points  (e:225.78 sec  P:701%  U:1471.13 sec  S:112.15 sec)
Run 29 (-j 8):      4475 points  (e:223.46 sec  P:704%  U:1461.66 sec  S:113.09 sec)
Run 30 (-j 8):      4444 points  (e:224.98 sec  P:704%  U:1472.23 sec  S:112.21 sec)
Run 31 (-j 8):      4448 points  (e:224.79 sec  P:705%  U:1472.27 sec  S:113.27 sec)
Run 32 (-j 8):      4440 points  (e:225.18 sec  P:702%  U:1470.07 sec  S:112.68 sec)
Run 33 (-j 8):      4454 points  (e:224.50 sec  P:703%  U:1465.35 sec  S:112.93 sec)
Run 34 (-j 8):      4468 points  (e:223.80 sec  P:703%  U:1463.14 sec  S:111.51 sec)
